id,rank,workers,company,url,state_l,state_s,city,growth,revenue,ifmid,ifiid,metro,industry,yrs_on_list
38336,4817,114,Logic20/20,logic2020,Washington,WA,Seattle,46.4475,17685000,23,17,Seattle,Business Products & Services,2
20516,4820,180,Morgan-White Group,morgan-white-group,Mississippi,MS,Jackson,46.3318,125281486,96,1,"Jackson, MS",Insurance,6
1548,4822,356,eVestment,evestment,Georgia,GA,Atlanta,46.2552,72142391,29,2,Atlanta,Financial Services,10
38194,4824,144,BuckleySandler,buckleysandler,New York,NY,New York,46.2312,145500000,9,17,New York City,Business Products & Services,2
3527,4827,108,Tandem HR,tandem-hr,Illinois,IL,Westchester,46.1119,576007896,17,21,Chicago,Human Resources,7
22316,4833,150,Vicom Computer Services,vicom-computer-services,New York,NY,Farmingdale,45.911,114324260,9,8,New York City,IT Services,3
3751,4837,288,Protingent,protingent,Washington,WA,Bellevue,45.845,34017625,23,21,Seattle,Human Resources,9
24434,4842,113,Client Command,client-command,Georgia,GA,Cumming,45.6733,25889809,29,5,Atlanta,Advertising & Marketing,6
11714,4844,142,PRISM,prism,Virginia,VA,Reston,45.6478,13994385,3,8,"Washington, DC",IT Services,3
22610,4849,370,Dickinson Wright,dickinson-wright,Michigan,MI,Detroit,45.4902,185500000,50,17,Detroit,Business Products & Services,3
17546,4850,215,Dexter Field Services,dexter-field-services,Texas,TX,Austin,45.4487,13123577,18,23,Austin,Environmental Services,6
4506,4851,312,Hardy Diagnostics,hardy-diagnostics,California,CA,Santa Maria,45.4072,44405388,1027,10,"Santa Maria-Santa Barbara, CA",Health,5
38191,4854,250,Milano's Cheese,milanos-cheese,New Jersey,NJ,Linden,45.3426,43644536,9,11,New York City,Food & Beverage,2
3626,4857,190,"Mosaic (Renton, Washington)",mosaic-renton-washington,Washington,WA,Renton,45.2953,35026207,23,16,Seattle,Energy,10
44546,4860,165,Softcrylic,softcrylic,Minnesota,MN,Minneapoils,45.2026,7595879,13,8,Minneapolis,IT Services,1
22182,4861,183,Allegient,allegient,Indiana,IN,Indianapolis,45.1356,31961779,81,8,"Indianapolis, IN",IT Services,5
20512,4867,120,Window World of Baton Rouge,window-world-of-baton-rouge,Louisiana,LA,Baton Rouge,44.9521,52568349,139,20,"Baton Rouge, LA",Construction,3
44548,4871,100,Clark Bros.,clark-bros,California,CA,Dos Palos,44.8631,18005978,345,20,"Fresno, CA",Construction,1
8128,4872,3632,AmWINS Group,amwins-group,North Carolina,NC,Charlotte,44.7639,774522800,43,1,Charlotte,Insurance,7
26269,4874,130,Insurance Program Managers Group,insurance-program-managers-group,Illinois,IL,St. Charles,44.7154,21879005,17,1,Chicago,Insurance,3
44550,4878,275,Genysis Brand Solutions,genysis-brand-solutions,Utah,UT,Salt Lake City,44.6284,109572533,12,15,Salt Lake City,Manufacturing,1
3568,4879,600,Anisa International,anisa-international,Georgia,GA,atlanta,44.5869,45932962,29,15,Atlanta,Manufacturing,5
228,4880,150,Strategic Systems,strategic-systems,Ohio,OH,Dublin,44.5755,23946223,19,8,"Columbus, OH",IT Services,8
989,4882,300,Astir IT Solutions,astir-it-solutions,New Jersey,NJ,South Plainfield,44.5704,35470844,9,8,New York City,IT Services,9
44552,4886,405,Vocalink Language Services,vocalink-language-services,Ohio,OH,Dayton,44.4431,4985940,39,17,"Dayton, OH",Business Products & Services,1
20591,4889,110,c3/consulting,c3consulting,Tennessee,TN,Nashville,44.2797,20916054,82,8,Nashville,IT Services,5
24407,4890,220,PreCheck,precheck,Texas,TX,Houston,44.256,25505690,22,10,Houston,Health,4
21770,4902,262,Summit Technical Solutions,summit-technical-solutions,Colorado,CO,Colorado Springs,43.8045,37784991,80,7,"Colorado Springs, CO",Government Services,2
17529,4911,150,Birds Barbershop,birds-barbershop,Texas,TX,Austin,43.4462,5700747,18,4,Austin,Consumer Products & Services,7
4803,4913,256,Data Systems Analysts,data-systems-analysts,Pennsylvania,PA,Trevose,43.4401,129647362,49,7,Philadelphia,Government Services,8
1779,4917,1136,Talentburst,talentburst,Massachusetts,MA,Natick,43.2448,57533997,6,8,Boston,IT Services,10
